ああ | aa | ah; yes | [sound:ic_nrkt_aa.mp3]
あいだに | aida ni | while; during ...  something happened | [sound:ic_nrkt_aidani.mp3]
あまり ... ない | amari ... nai | not very, not much  ...  | [sound:ic_nrkt_amari...nai.mp3]
あとで | ato de | after ... ; later | [sound:ic_nrkt_atode.mp3]
びっくり | bikkuri | to be surprised | [sound:ic_nrkt_bikkuri.mp3]
だいぶ | daibu | considerably; greatly; a lot​ | [sound:ic_nrkt_daibu.mp3]
できるだけ | dekiru dake | as much as possible | [sound:ic_nrkt_dekirudake.mp3]
どんどん | dondon | rapidly; more and more | [sound:ic_nrkt_dondon.mp3]
ふつう | futsuu | usually | [sound:ic_nrkt_futsuu.mp3]
はっきり | hakkiri | clearly | [sound:ic_nrkt_hakkiri.mp3]
ひじょうに | hijou ni | extremely | [sound:ic_nrkt_hijouni.mp3]
いっぱい | ippai | full | [sound:ic_nrkt_ippai.mp3]
じゅうぶん | juubun | enough; sufficient; plenty; adequate; satisfactory | [sound:ic_nrkt_juubun.mp3]
かどうか | ka dou ka | whether or not  ...  | [sound:ic_nrkt_kadouka.mp3]
かならず | kanarazu | always; certainly | [sound:ic_nrkt_kanarazu.mp3]
きっと | kitto | surely; undoubtedly; almost certainly; most likely | [sound:ic_nrkt_kitto.mp3]
こう | kou | this way | [sound:ic_nrkt_kou.mp3]
くする | ku suru | to make something  ...  | [sound:ic_nrkt_kusuru.mp3]
きゅうに | kyuu ni | quickly; immediately; hastily; suddenly; abruptly; unexpectedly  ...  | [sound:ic_nrkt_kyuuni.mp3]
までに | made ni | by; by the time; indicates time limit | [sound:ic_nrkt_madeni.mp3]
まず | mazu | first of all | [sound:ic_nrkt_mazu.mp3]
みたいに | mitai ni | like; similar to  ...  | [sound:ic_nrkt_mitaini.mp3]
もし | moshi | if; in case; supposing | [sound:ic_nrkt_moshi.mp3]
