こくご | kokugo | national language | [sound:ic_nrkt_kokugo.mp3]
こくみん | kokumin | people (of a country); nation; citizen; national | [sound:ic_nrkt_kokumin.mp3]
こんご | kongo | from now on; hereafter | [sound:ic_nrkt_kongo.mp3]
こんかい | konkai | now; this time; lately | [sound:ic_nrkt_konkai.mp3]
こうそく | kousoku | high-speed; rapid; express | [sound:ic_nrkt_kousoku.mp3]
くんれん | kunren | training; drill; practice; discipline | [sound:ic_nrkt_kunren.mp3]
きょうかしょ | kyoukasho | textbook; coursebook; schoolbook | [sound:ic_nrkt_kyoukasho.mp3]
きょうりょく | kyouryoku | cooperation; collaboration | [sound:ic_nrkt_kyouryoku.mp3]
きょうりょく | kyouryoku | powerful; strong | [sound:ic_nrkt_kyouryoku.mp3]
きゅうしゅう | kyuushuu | absorption; suction; attraction | [sound:ic_nrkt_kyuushuu.mp3]
きゅうそく | kyuusoku | rapid (e.g. progress) | [sound:ic_nrkt_kyuusoku.mp3]
まじめ | majime | serious; earnest | [sound:ic_nrkt_majime.mp3]
まっか | makka | bright red; deep red; flushed (of face) | [sound:ic_nrkt_makka.mp3]
まんいち | manichi | emergency; unlikely event​; by some chance; by some possibility | [sound:ic_nrkt_manichi.mp3]
まんぞく | manzoku | satisfaction; contentment;​ sufficient; enough | [sound:ic_nrkt_manzoku.mp3]
めし | meshi | cooked rice; meal | [sound:ic_nrkt_meshi.mp3]
みかた | mikata | friend; ally; supporter; taking sides with; supporting | [sound:ic_nrkt_mikata.mp3]
みりょく | miryoku | charm; fascination; glamour; attraction; appeal | [sound:ic_nrkt_miryoku.mp3]
もくよう | mokuyou | Thursday | [sound:ic_nrkt_mokuyou.mp3]
なかば | nakaba | middle; half; semi; halfway; partly | [sound:ic_nrkt_nakaba.mp3]
ねっしん | nesshin | enthusiastic; eager | [sound:ic_nrkt_nesshin.mp3]
にほん | nihon | Japan | [sound:ic_nrkt_nihon.mp3]
のうりょく | nouryoku | ability; faculty | [sound:ic_nrkt_nouryoku.mp3]
にゅうじょう | nyuujou | entrance; admission; entering | [sound:ic_nrkt_nyuujou.mp3]
おひる | ohiru | lunch; midday; daytime | [sound:ic_nrkt_ohiru.mp3]
れんぞく | renzoku | continuation; succession; series | [sound:ic_nrkt_renzoku.mp3]
りえき | rieki | profit; gains; benefit | [sound:ic_nrkt_rieki.mp3]
